id;num_tombamento;denominacao;id_marca_produto;id_material;id_unidade_resp_atual;valor;data_inicio_uso;ano_balanco
189034;1040613;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189033;1040612;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189032;1040611;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189031;1040610;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189030;1040609;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189029;1040608;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189028;1040607;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189027;1040606;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189026;1040605;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189025;1040604;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189024;1040603;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189023;1040602;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189022;1040601;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189021;1040600;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189020;1040599;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189019;1040598;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189018;1040597;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
189017;1040596;LICENÃ‡A WINDOWS SERVER CAL 2016;33033;11153;161;25.150.000;19/02/2019;2019
